model,prompt_id,n,sample_hr,stratum
Qwen3,3741,5,0.0,clean
Qwen3,3788,5,0.0,clean
Qwen3,3801,5,0.0,clean
Qwen3,3811,5,0.2,low_or_moderate
Qwen3,3818,5,0.0,clean
Qwen3,3823,5,0.2,low_or_moderate
Qwen3,3884,5,0.0,clean
Qwen3,3911,5,0.0,clean
Qwen3,3917,5,0.0,clean
Qwen3,3971,5,0.0,clean
Qwen3,3988,5,0.0,clean
Qwen3,4016,5,0.0,clean
Qwen3,4033,5,0.0,clean
Qwen3,4077,5,0.0,clean
Qwen3,4085,5,0.2,low_or_moderate
Qwen3,4127,5,0.0,clean
Qwen3,4141,5,0.0,clean
Qwen3,4157,5,0.0,clean
Qwen3,4165,5,0.0,clean
Qwen3,4178,5,0.0,clean
Qwen3,4205,5,0.0,clean
Qwen3,4220,5,0.0,clean
Qwen3,4224,5,0.0,clean
Qwen3,4265,5,0.6,high
Qwen3,4287,5,0.0,clean
Qwen3,4323,5,0.0,clean
Qwen3,4337,5,0.0,clean
Qwen3,4371,5,0.2,low_or_moderate
Qwen3,4382,5,0.0,clean
Qwen3,4388,5,0.2,low_or_moderate
Qwen3,4472,5,0.0,clean
Qwen3,4475,5,0.0,clean
Qwen3,4524,5,0.2,low_or_moderate
Qwen3,4535,5,0.0,clean
Qwen3,4544,5,0.0,clean
Qwen3,4555,5,0.0,clean
Qwen3,4627,5,0.0,clean
Qwen3,4629,5,0.0,clean
Qwen3,4652,5,0.0,clean
Qwen3,4690,5,0.0,clean
Qwen3,4696,5,0.0,clean
Qwen3,4721,5,0.0,clean
Qwen3,4765,5,0.0,clean
Qwen3,4808,5,0.0,clean
Qwen3,4849,5,0.0,clean
Llama-3.1,44,5,0.4,low_or_moderate
Llama-3.1,68,5,0.0,clean
Llama-3.1,69,5,0.0,clean
Llama-3.1,79,5,0.0,clean
Llama-3.1,95,5,0.0,clean
Llama-3.1,107,5,0.0,clean
Llama-3.1,119,5,0.0,clean
Llama-3.1,153,5,0.2,low_or_moderate
Llama-3.1,160,5,0.0,clean
Llama-3.1,162,5,0.0,clean
Llama-3.1,176,5,0.0,clean
Llama-3.1,188,5,0.0,clean
Llama-3.1,195,5,0.2,low_or_moderate
Llama-3.1,222,5,0.0,clean
Llama-3.1,247,5,0.0,clean
Llama-3.1,253,5,0.8,high
Llama-3.1,290,5,0.8,high
Llama-3.1,296,5,0.4,low_or_moderate
Llama-3.1,352,5,0.0,clean
Llama-3.1,360,5,0.0,clean
